observation_id,community_taxon_rank,photo_count,project_count,external_history_count,first_external_user_id,first_external_login,first_external_rank,first_external_prior_taxon_ids,most_experienced_user_id,most_experienced_login,most_experienced_rank,max_prior_taxon_ids,zero_experience_external_ids
256950389,species,1,0,1,4989360,lccg,species,1713,4989360,lccg,species,1713,0
257028305,,4,0,0,,,,,,,,,0
257028323,,2,0,0,,,,,,,,,0
257037617,,2,0,0,,,,,,,,,0
257043066,,3,0,0,,,,,,,,,0
257043489,species,4,0,3,396990,kostaszontanos,species,63633,396990,kostaszontanos,species,63633,0
257049957,genus,1,0,1,3565390,matthewvosper,genus,134797,3565390,matthewvosper,genus,134797,0
257150061,genus,1,0,1,8639643,jonne_v,species,33,8639643,jonne_v,species,33,0
257153966,species,2,0,2,2032730,waldgeist,species,18394,2032730,waldgeist,species,18394,0
257156193,species,2,0,2,4127182,gehazett,species,148,5521474,chaym_turak,species,14136,0
257197588,species,4,0,1,3565390,matthewvosper,species,135167,3565390,matthewvosper,species,135167,0
257198792,species,1,0,2,7939273,grampianshiker,class,10,4989360,lccg,species,1824,0
257293866,genus,1,0,1,4989360,lccg,species,1823,4989360,lccg,species,1823,0
257308742,,2,0,0,,,,,,,,,0
257342310,species,1,0,1,8775657,syrphidae-of-poland,species,460,8775657,syrphidae-of-poland,species,460,0
257349695,species,2,0,1,2883211,rkl,species,33704,2883211,rkl,species,33704,0
257360639,species,3,0,1,7179915,sirhck,species,12766,7179915,sirhck,species,12766,0
257361987,species,5,0,1,7179915,sirhck,species,12761,7179915,sirhck,species,12761,0
257366181,species,7,0,1,1976574,catherine_g,species,141450,1976574,catherine_g,species,141450,0
257368748,species,1,0,2,7179915,sirhck,species,12740,7179915,sirhck,species,12740,0
257382091,species,1,0,1,1368185,skay,species,101,1368185,skay,species,101,0
257384934,species,1,0,1,3565390,matthewvosper,species,199474,3565390,matthewvosper,species,199474,0
257389692,,2,0,0,,,,,,,,,0
257408602,genus,1,0,1,1976574,catherine_g,species,141464,1976574,catherine_g,species,141464,0
257454494,,2,0,0,,,,,,,,,0
257476342,species,1,0,1,7179915,sirhck,species,12792,7179915,sirhck,species,12792,0
257547089,species,1,0,2,7744487,jymj,species,30,5521474,chaym_turak,species,14376,0
257558280,subfamily,1,0,1,58307,steve_kerr,subfamily,3471,58307,steve_kerr,subfamily,3471,0
257576542,,6,0,0,,,,,,,,,0
257651680,species,1,0,3,57863,sdjbrown,family,194,58307,steve_kerr,species,3477,0
257687135,species,3,0,1,1343198,renko,species,1043,1343198,renko,species,1043,0
257690249,species,8,0,3,5404169,henri_s,order,67,5929079,elenao1,order,127,0
257771194,species,1,0,1,11700,phycus,species,21977,11700,phycus,species,21977,0
257885670,,1,0,0,,,,,,,,,0
257950534,species,1,0,1,2815061,aworsey,species,1245,2815061,aworsey,species,1245,0
257970027,family,5,0,1,396990,kostaszontanos,genus,66854,396990,kostaszontanos,genus,66854,0
258127646,,1,0,0,,,,,,,,,0
258223520,species,1,0,2,7179915,sirhck,species,13932,7179915,sirhck,species,13932,0
258261846,species,3,3,1,1976574,catherine_g,species,141543,1976574,catherine_g,species,141543,0
258285608,family,1,0,2,8435168,bichil,family,1,5384547,exonie,genus,10181,0
258323038,species,1,0,3,6755552,leifcollectsbugs,genus,138,1163777,trinaroberts,species,230832,0
258323843,genus,4,0,2,1976574,catherine_g,genus,141513,1163777,trinaroberts,genus,230833,0
258337088,species,3,2,1,1976574,catherine_g,species,141628,1976574,catherine_g,species,141628,0
258343683,species,1,1,2,11700,phycus,species,22050,11700,phycus,species,22050,0
258336049,species,3,0,1,58307,steve_kerr,species,3509,58307,steve_kerr,species,3509,0
258359758,species,1,0,1,5153874,tristantas,species,83,5153874,tristantas,species,83,0
258387487,genus,4,0,4,3565390,matthewvosper,genus,136949,3565390,matthewvosper,genus,136949,0
258507575,,2,1,0,,,,,,,,,0
258515005,,3,0,0,,,,,,,,,0
258490756,species,2,0,1,8169041,rzeczpospolita,species,194,8169041,rzeczpospolita,species,194,0
258581818,,1,0,0,,,,,,,,,0
258591287,species,1,0,1,7179915,sirhck,species,14393,7179915,sirhck,species,14393,0
258682869,,6,0,0,,,,,,,,,0
258683777,species,8,1,1,8566710,wren-falcon,species,540,8566710,wren-falcon,species,540,0
258814678,genus,1,0,3,58307,steve_kerr,genus,3533,3916,sandyrae,genus,4841,0
258819594,,2,0,0,,,,,,,,,0
258881244,species,2,1,1,1976574,catherine_g,species,142330,1976574,catherine_g,species,142330,0
258929116,species,4,0,2,7179915,sirhck,species,14696,7179915,sirhck,species,14696,0
259207835,,1,0,0,,,,,,,,,0
259223745,species,1,0,1,1976574,catherine_g,species,141930,1976574,catherine_g,species,141930,0
259295568,species,1,0,2,1976574,catherine_g,species,141940,1976574,catherine_g,species,141940,0
259314650,species,1,0,1,5521474,chaym_turak,species,14790,5521474,chaym_turak,species,14790,0
259331458,species,1,0,1,4989360,lccg,species,2199,4989360,lccg,species,2199,0
259350955,genus,1,0,2,4861227,rodrigo_barahona_13,genus,2459,4861227,rodrigo_barahona_13,genus,2459,0
259356543,species,1,1,2,5555239,aurearamon,species,482,5521474,chaym_turak,species,15175,0
259364296,subtribe,1,1,1,5934861,traianbertau,genus,6019,5934861,traianbertau,genus,6019,0
259416984,species,3,0,1,9944161,afivewave,species,1954,9944161,afivewave,species,1954,0
259419924,species,1,0,2,7179915,sirhck,species,60309,7179915,sirhck,species,60309,0
259504002,species,1,0,1,7179915,sirhck,species,16142,7179915,sirhck,species,16142,0
259560114,species,2,1,2,5551272,teuthis,species,1665,5521474,chaym_turak,species,14827,0
259616605,,3,0,0,,,,,,,,,0
259680763,species,1,0,1,7179915,sirhck,species,15900,7179915,sirhck,species,15900,0
259694318,,2,0,0,,,,,,,,,0
259768742,,1,0,0,,,,,,,,,0
259801373,genus,2,0,2,2956565,luanmazzeo,genus,1213,11700,phycus,genus,26378,0
259915040,genus,1,0,2,11700,phycus,genus,22377,11700,phycus,genus,22377,0
259927698,species,1,0,1,6327185,antoinette63,species,10,6327185,antoinette63,species,10,0
259944032,genus,1,0,1,1922575,gerrit_oehm,genus,39088,1922575,gerrit_oehm,genus,39088,0
259958012,species,1,0,2,1922575,gerrit_oehm,species,39081,1922575,gerrit_oehm,species,39081,0
260001878,species,4,0,2,11700,phycus,genus,22419,11700,phycus,genus,22419,0
260022035,order,2,0,1,692058,tony_d,species,1724,692058,tony_d,species,1724,0
260073973,genus,1,0,1,8566710,wren-falcon,species,464,8566710,wren-falcon,species,464,0
260175815,species,1,0,2,396990,kostaszontanos,species,67871,396990,kostaszontanos,species,67871,0
260195722,,0,0,0,,,,,,,,,0
260269406,species,5,0,2,7179915,sirhck,species,17377,2032730,waldgeist,species,18413,0
