sampling_month,observation_id,observation_uuid,observer_id,created_at,observed_on,taxon_id,taxon_name,taxon_rank,community_taxon_id,quality_grade,photo_count,identifications_count,identification_agreements,identification_disagreements,latitude,longitude,project_count
2025-01,257771194,3036c61e-6e5b-4980-bee4-c48c26909bf2,,2025-01-08T05:06:47+00:00,2025-01-07,1364214,Phytomia curta,species,1364214,research,1,1,1,0,13.5307585772,-16.4340602721,0
2025-01,259350955,9bd25caa-70fa-41c4-a6aa-54b0b3506ea4,,2025-01-23T14:09:52-03:00,2024-12-20,121357,Platycheirus,genus,121357,needs_id,1,1,1,0,-39.8625722222,-73.3946444444,0
2025-02,262485440,18d5bdae-0d28-4a6e-9ec7-9bbb053d72d9,,2025-02-21T14:10:03+07:00,2025-02-19,475430,Asarkina,genus,475430,needs_id,1,0,0,0,9.8108801997,104.6346853,0
2025-02,263001265,03d52c22-5db8-444e-baef-db16d019fd19,,2025-02-25T01:04:09+00:00,2025-02-24,49995,Syrphidae,family,,needs_id,1,0,0,0,28.0647674352,-15.462193741,0
2025-03,266518203,1b5053c0-1a0b-428d-a143-de8ab9da6061,,2025-03-23T02:45:03-05:00,2025-03-22,126889,Toxomerus marginatus,species,126889,research,1,1,1,0,36.9383431,-85.7094062,0
2025-03,267888395,0b4823fc-72b7-4489-9cbd-9869dddaf987,,2025-03-31T20:38:39+08:00,2025-03-26,52491,Eristalis,genus,52491,needs_id,1,2,1,1,32.4593709456,118.7860310378,0
2025-04,273934847,8ea10174-e7ab-4637-b10e-3530258bcb0d,,2025-04-26T12:30:31-04:00,2025-04-26,58753,Toxomerus,genus,,needs_id,1,0,0,0,-19.5631966667,-65.4424216667,0
2025-04,275145413,185550e3-7b5c-4e4e-a46d-75a7b9bd458a,,2025-04-28T00:07:19+01:00,2025-04-27,52489,Syrphus,genus,52489,research,1,2,2,0,53.1437083333,-2.9532116667,0
2025-05,282709260,b6838f55-1cbd-4e00-a1a0-f64f5a8d1c5d,,2025-05-20T20:29:26+01:00,2025-04-03,70405,Melanostoma scalare,species,70405,research,3,1,1,0,51.4513829474,-2.6071074978,0
2025-05,282830913,ae87b2e3-2309-4385-8104-88a45cde90ca,,2025-05-21T09:38:37+02:00,2025-05-20,52491,Eristalis,genus,,casual,4,0,0,0,,,0
2025-06,290043602,ce1f9455-098e-4ada-a480-bcd3d1c0cbe0,,2025-06-15T21:41:07-06:00,2025-06-15,335743,Sphaerophoria contigua,species,335743,research,3,1,1,0,40.5475193997,-105.0237403952,0
2025-06,292625531,fa717c50-6014-4771-a981-5a27b9170ad6,,2025-06-25T16:49:00+02:00,2025-06-25,52480,Volucella pellucens,species,52480,research,1,1,1,0,55.6626611111,12.5824972222,0
