observation_id,outcome_group,community_taxon_rank,photo_count,project_count,history_id_count,current_id_count,withdrawn_id_count,owner_history_count,external_history_count,first_owner_rank,final_owner_rank,owner_rank_changed,first_external_rank,first_external_category,first_external_disagreement,first_species_by,first_species_current,historical_maverick,historical_disagreement,hours_post_to_first_owner,hours_post_to_first_external,hours_post_to_first_species,hours_post_to_first_external_species,hours_owner_to_first_external
256950389,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,24.69,0.0,24.69,24.69
257028305,none,,4,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257028323,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257037617,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257043066,none,,3,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257043489,species,species,4,0,4,4,0,1,3,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.03,0.0,0.03,0.03
257049957,genus,genus,1,0,2,2,0,1,1,species,species,False,genus,improving,True,owner,True,False,True,0.0,23.79,0.0,,23.79
257150061,genus,genus,1,0,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,1662.37,1662.37,1662.37,1662.37
257153966,species,species,2,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,2.22,0.0,2.22,2.22
257156193,species,species,2,0,3,3,0,1,2,species,species,False,species,supporting,False,owner,True,False,False,0.0,1.59,0.0,1.59,1.59
257197588,species,species,4,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,52.47,0.0,52.47,52.47
257198792,species,species,1,0,3,3,0,1,2,species,species,False,class,improving,,owner,True,False,False,19.06,3.22,19.06,22.21,-15.85
257293866,genus,genus,1,0,2,2,0,1,1,genus,genus,False,species,leading,False,external,True,False,False,0.0,1.22,1.22,1.22,1.22
257308742,none,,2,0,1,1,0,1,0,species,species,False,,,,owner,True,False,False,0.0,,0.0,,
257342310,species,species,1,0,2,2,0,1,1,species,species,False,species,supporting,False,owner,True,False,False,0.0,0.77,0.0,0.77,0.77
