observation_id,identification_id,identification_uuid,identifier_user_id,identifier_login,created_at,taxon_id,taxon_rank,category,current,own_observation,vision,disagreement,previous_observation_taxon_id,current_taxon,hidden
259416984,760273063,bf4ff1d2-d24e-4fee-ab25-c49ce51f8cd0,9944161,afivewave,2026-02-10T19:00:15+08:00,1118121,species,supporting,True,False,False,False,1118121,True,False
257384934,747730353,b79f4ac5-a4c0-4294-b4a3-db2aeda0682b,3565390,matthewvosper,2026-01-07T21:59:34+00:00,462191,species,supporting,True,False,False,False,462191,True,False
258387487,746728346,59626815-c187-4e2d-83cf-9d4987bd79dc,1527518,a_emmerson,2026-01-05T09:07:31+00:00,486780,genus,supporting,True,False,False,True,486782,True,False
260277338,744754665,e216f4b6-b4a3-4d4f-be93-322d5c0f7585,4124065,marcthibault,2025-12-31T12:26:13+01:00,1098608,subgenus,supporting,True,True,False,False,1098608,True,False
259419924,743576361,ed65ee38-224c-4d64-874a-fe82772a1c26,5764889,grid33,2025-12-28T17:49:12+01:00,342901,species,supporting,True,False,False,False,342901,True,False
259419924,743199334,279797b9-2ce3-4940-9c06-19762b6c6024,7179915,sirhck,2025-12-27T21:02:25+01:00,342901,species,improving,True,False,True,False,324638,True,False
260277338,739027932,2eb24e9f-50e4-4e4a-a679-b308fd3236ec,1922575,gerrit_oehm,2025-12-16T21:42:17+01:00,1098608,subgenus,improving,True,False,False,False,311431,True,False
258387487,736091316,c86025f5-f96f-4d86-850d-8954dd8bbc51,4472993,jballam,2025-12-09T08:37:19+00:00,486780,genus,supporting,True,False,False,False,486782,True,False
257382091,629309459,2bb8c752-6d67-4989-a828-7ef76fee319c,1368185,skay,2025-05-09T15:46:58-03:00,479803,species,supporting,True,False,False,False,479803,True,False
259801373,602925657,23a81ccc-12a6-451e-94ee-6abed67a9786,11700,phycus,2025-03-18T23:00:19-07:00,322891,genus,supporting,True,False,False,False,322891,True,False
257150061,600909193,b3d88af6-0a8f-431a-9ac9-d5f1951ac6a4,8639643,jonne_v,2025-03-13T02:13:56+01:00,605666,species,leading,True,False,False,False,194793,True,False
257043489,599641120,f5f8c09b-5bd2-4879-81ef-a2928cfc8b0c,1674710,flo-dycob,2025-03-08T18:00:46-10:00,52964,species,supporting,True,False,False,False,52964,True,False
260277338,599160527,8b8af1da-648a-405d-bddf-7735bed32360,11700,phycus,2025-03-07T20:49:06+01:00,311431,genus,supporting,True,False,False,False,311431,False,False
260572012,599141045,c4a90acc-01b5-4948-8108-c5c3ab7fc117,11700,phycus,2025-03-07T11:00:36-08:00,506537,genus,supporting,True,False,False,False,506537,True,False
260703598,598749079,a9fce200-9055-416f-a405-a0a1507210f6,11700,phycus,2025-03-06T12:26:20-08:00,506537,genus,supporting,True,False,False,False,506537,True,False
259331458,595209990,be519977-386c-4c08-aa8b-b7d18dd48c8f,4989360,lccg,2025-02-23T02:39:42+00:00,362610,species,supporting,True,False,False,False,362610,True,False
258814678,591635273,294effb6-1e91-4ca8-b972-d84d95ba7c8a,3916,sandyrae,2025-02-11T22:19:27+00:00,118969,genus,supporting,True,False,False,False,121991,True,False
257687135,591599443,3d0ce2a1-d0cd-4ed0-8223-33385c22c5db,1343198,renko,2025-02-11T21:00:17+01:00,210336,species,supporting,True,False,False,False,210336,True,False
260572012,590398574,b839c7ec-2dea-4b6b-a5ed-718135810f42,5125561,ethanec,2025-02-07T14:57:51-08:00,506537,genus,improving,True,True,False,,732958,True,False
260700096,590257965,92d2ed95-cd27-4939-863e-2593cb6ea5f8,7931641,cicadaexplorermore,2025-02-07T12:53:08+00:00,52480,species,supporting,True,True,False,False,52480,True,False
260756354,590131408,ce3e92c8-aa6a-49bd-a7a0-8f39900afd34,8927801,allicat276,2025-02-06T17:50:19-06:00,963010,complex,supporting,True,True,False,False,121991,True,False
260756354,590075338,f799ad25-76ac-4575-8dfb-3f169c0ec67b,1976574,catherine_g,2025-02-06T13:43:04-06:00,963010,complex,improving,True,False,False,True,52489,True,False
260756354,589862269,0451d4c1-b2a8-4c73-b296-ec1c60e04fd2,8927801,allicat276,2025-02-05T17:55:35-06:00,52489,genus,maverick,False,True,True,,52489,False,False
260700096,589799442,e7321a21-8fcf-44c4-90e7-298766ddb2c0,396990,kostaszontanos,2025-02-05T19:38:04+00:00,52480,species,supporting,True,False,False,False,52480,True,False
260700096,589726227,37514e5f-3bb7-4c80-9004-5d7956eeab93,5384547,exonie,2025-02-05T14:27:12+00:00,52480,species,improving,True,False,True,False,47822,True,False
260703598,589709582,94415c3d-0343-49a9-8602-670a0854a68a,3380195,enricotosto96,2025-02-05T05:18:26-08:00,506537,genus,supporting,True,False,False,False,506537,True,False
260703598,589706504,e007a4ec-2574-4717-835c-eee448f1545e,2356698,rafaelmrosa,2025-02-05T05:03:16-08:00,506537,genus,improving,True,True,True,,506537,True,False
260700096,589694841,a4f7fecc-de73-4ff2-9749-95da5f265010,7931641,cicadaexplorermore,2025-02-05T11:59:37+00:00,47822,order,improving,False,True,False,,47822,False,False
260687860,589661225,737d1017-b313-4fd2-871d-2b31949c9dcd,4519358,dixonlau,2025-02-05T08:04:58+00:00,481322,species,leading,True,True,True,,481322,True,False
260395314,589563089,8ebc7940-d925-4746-a4ed-69c168c83de5,11700,phycus,2025-02-04T15:03:39-08:00,52233,genus,supporting,True,False,False,False,52233,True,False
258881244,589517448,1f962ec1-6bc3-4db4-9544-9ac5a299f0a4,1976574,catherine_g,2025-02-04T13:05:32-07:00,859117,species,supporting,True,False,False,False,859117,True,False
260612179,589482905,c1a7c807-9e4a-4a93-a749-4d0ed2213945,7179915,sirhck,2025-02-04T18:01:24+00:00,70211,species,supporting,True,False,False,False,70211,True,False
260618029,589463687,7a919b26-9aa9-4875-aa34-9bb4e7aeb895,3881550,gen_outdoors,2025-02-04T16:35:51+00:00,145541,genus,leading,True,True,True,,145541,True,False
260612179,589446868,37b9b986-e3f3-4973-ac45-e6b18c500c12,4988676,amaneko,2025-02-04T15:26:30+00:00,70211,species,improving,True,True,False,,70211,True,False
260572012,589333637,f2818e87-94a2-4a55-8a87-9606785c675b,5125561,ethanec,2025-02-03T20:57:19-08:00,732958,species,leading,False,True,True,,732958,False,False
258683777,589017643,237268e6-831e-4225-89c6-7ae046a94eec,8566710,wren-falcon,2025-02-02T23:11:01-05:00,55719,species,supporting,True,False,False,False,55719,True,False
260439382,588949256,58da2027-4038-4abe-bc10-d1fe6e95f682,441072,chris_otahal,2025-02-02T13:16:44-10:00,493594,species,leading,True,True,False,,62455,True,False
260439382,588948429,31868c51-d45c-4748-b2bd-1161c66945d0,441072,chris_otahal,2025-02-02T13:12:48-10:00,62455,genus,leading,False,True,True,,62455,False,False
260426407,588920071,ef5b219e-08e8-4706-aa9b-b8fa9e184f71,1976574,catherine_g,2025-02-02T11:22:40-10:00,154762,species,supporting,True,False,False,False,154762,True,False
260426407,588918444,2d4a8f5d-8cc9-425c-b7c8-dd678b0beca0,441072,chris_otahal,2025-02-02T11:16:25-10:00,154762,species,supporting,True,True,False,,154762,True,False
260426407,588918095,bf035921-79b0-4994-aab2-ecf770efb4e1,441072,chris_otahal,2025-02-02T11:15:02-10:00,154762,species,improving,False,True,True,,154762,True,False
260318564,588918034,96f138cc-45ac-48e8-86c0-67cd6ed24f49,1976574,catherine_g,2025-02-02T15:14:50-06:00,121357,genus,leading,True,False,False,True,311434,False,False
