observation_id,outcome_group,community_taxon_rank,photo_count,project_count,total_id_count,external_id_count,first_id_owner,first_id_rank,first_id_category,first_id_vision,first_external_user_id,first_external_rank,first_external_category,first_external_vision,first_external_disagreement,second_external_rank,second_external_category,second_external_disagreement,hours_to_first_external,hours_first_to_last_external,any_external_disagreement,any_external_vision
256950389,species,species,1,0,2,1,True,species,improving,False,4989360,species,supporting,False,False,,,,24.69,0.0,False,False
257028305,none,,4,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257028323,none,,2,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257037617,none,,2,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257043066,none,,3,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257043489,species,species,4,0,4,3,True,species,improving,True,396990,species,supporting,False,False,species,supporting,False,0.03,1590.71,False,False
257049957,genus,genus,1,0,2,1,True,species,leading,False,3565390,genus,improving,False,True,,,,23.79,0.0,True,False
257150061,genus,genus,1,0,2,1,True,genus,improving,True,8639643,species,leading,False,False,,,,1662.37,0.0,False,False
257153966,species,species,2,0,3,2,True,species,improving,True,2032730,species,supporting,False,False,species,supporting,False,2.22,0.39,False,False
257156193,species,species,2,0,3,2,True,species,improving,False,4127182,species,supporting,False,False,species,supporting,False,1.59,0.61,False,False
257197588,species,species,4,0,2,1,True,species,improving,False,3565390,species,supporting,False,False,,,,52.47,0.0,False,False
257198792,species,species,1,0,3,2,False,class,improving,False,7939273,class,improving,False,,species,supporting,False,3.22,18.99,False,False
257293866,genus,genus,1,0,2,1,True,genus,improving,True,4989360,species,leading,False,False,,,,1.22,0.0,False,False
257308742,none,,2,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257342310,species,species,1,0,2,1,True,species,improving,True,8775657,species,supporting,False,False,,,,0.77,0.0,False,False
257349695,species,species,2,0,2,1,True,species,improving,False,2883211,species,supporting,False,False,,,,21.18,0.0,False,False
257360639,species,species,3,0,2,1,True,species,improving,False,7179915,species,supporting,False,False,,,,5.09,0.0,False,False
257361987,species,species,5,0,2,1,True,species,improving,False,7179915,species,supporting,False,False,,,,4.84,0.0,False,False
257366181,species,species,7,0,2,1,False,species,improving,False,1976574,species,improving,False,False,,,,0.62,0.0,False,False
257368748,species,species,1,0,3,2,True,species,improving,True,7179915,species,supporting,False,False,species,supporting,False,1.28,3.71,False,False
257382091,species,species,1,0,2,1,True,species,improving,True,1368185,species,supporting,False,False,,,,2999.48,0.0,False,False
257384934,species,species,1,0,2,1,True,species,improving,False,3565390,species,supporting,False,False,,,,8834.25,0.0,False,False
257389692,none,,2,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
257408602,genus,genus,1,0,2,1,True,genus,improving,True,1976574,species,leading,False,False,,,,2.96,0.0,False,False
257454494,none,,2,0,1,0,True,family,leading,False,,,,,,,,,,,False,False
257476342,species,species,1,0,2,1,True,species,improving,False,7179915,species,supporting,False,False,,,,0.81,0.0,False,False
257547089,species,species,1,0,3,2,True,species,improving,True,7744487,species,supporting,False,False,species,supporting,False,0.06,12.39,False,False
257558280,other,subfamily,1,0,2,1,True,subfamily,improving,True,58307,subfamily,supporting,False,False,,,,0.77,0.0,False,False
257576542,none,,6,0,1,0,True,genus,leading,True,,,,,,,,,,,False,False
257651680,species,species,1,0,4,3,True,subclass,improving,False,57863,family,improving,False,False,species,improving,False,0.26,593.46,False,False
257687135,species,species,3,0,2,1,True,species,improving,True,1343198,species,supporting,False,False,,,,849.52,0.0,False,False
257690249,species,species,8,0,4,3,False,order,improving,False,5404169,order,improving,False,True,order,supporting,False,2.04,8.4,True,False
257771194,species,species,1,0,2,1,False,species,improving,False,11700,species,improving,False,False,,,,1.76,0.0,False,False
257885670,none,,1,0,1,0,True,genus,leading,False,,,,,,,,,,,False,False
257950534,species,species,1,0,2,1,True,species,improving,True,2815061,species,supporting,False,False,,,,19.61,0.0,False,False
257970027,other,family,5,0,2,1,True,family,improving,False,396990,genus,leading,False,False,,,,156.99,0.0,False,False
258127646,none,,1,0,1,0,True,genus,leading,True,,,,,,,,,,,False,False
258223520,species,species,1,0,3,2,True,genus,improving,True,7179915,species,improving,True,False,species,supporting,False,0.25,45.19,False,True
258261846,species,species,3,3,2,1,True,species,improving,False,1976574,species,supporting,False,False,,,,11.0,0.0,False,False
258285608,other,family,1,0,3,2,True,order,improving,False,8435168,family,improving,False,False,genus,leading,False,1.05,0.89,False,True
258323038,species,species,1,0,4,3,False,genus,supporting,False,6755552,genus,supporting,False,False,species,improving,False,0.77,5.46,False,False
258323843,genus,genus,4,0,3,2,True,genus,improving,True,1976574,genus,supporting,False,False,genus,supporting,False,0.81,5.28,False,False
258337088,species,species,3,2,2,1,False,species,improving,False,1976574,species,improving,False,False,,,,0.04,0.0,False,False
258343683,species,species,1,1,3,2,True,species,improving,True,11700,species,supporting,False,False,species,supporting,False,0.63,40.66,False,False
258336049,species,species,3,0,2,1,True,species,improving,False,58307,species,supporting,False,False,,,,1.36,0.0,False,False
258359758,species,species,1,0,2,1,True,species,improving,True,5153874,species,supporting,False,False,,,,12.33,0.0,False,False
258387487,genus,genus,4,0,5,4,True,species,leading,False,3565390,genus,improving,False,False,genus,supporting,False,122.8,8436.75,True,False
258507575,none,,2,1,1,0,True,genus,leading,True,,,,,,,,,,,False,False
258515005,none,,3,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
258490756,species,species,2,0,2,1,True,species,improving,True,8169041,species,supporting,False,False,,,,2.74,0.0,False,False
258581818,none,,1,0,1,0,True,genus,leading,True,,,,,,,,,,,False,False
258591287,species,species,1,0,2,1,True,species,improving,True,7179915,species,supporting,False,False,,,,0.03,0.0,False,False
258682869,none,,6,0,1,0,True,species,leading,True,,,,,,,,,,,False,False
258683777,species,species,8,1,2,1,True,species,improving,True,8566710,species,supporting,False,False,,,,414.81,0.0,False,False
258814678,genus,genus,1,0,4,3,True,species,maverick,True,58307,genus,improving,False,True,genus,supporting,False,10.34,579.45,True,False
258819594,none,,2,0,1,0,True,species,leading,False,,,,,,,,,,,False,False
258881244,species,species,2,1,2,1,True,species,improving,False,1976574,species,supporting,False,False,,,,405.65,0.0,False,False
258929116,species,species,4,0,3,2,True,species,improving,True,7179915,species,supporting,False,False,species,supporting,False,2.2,5.51,False,False
259207835,none,,1,0,1,0,True,genus,leading,True,,,,,,,,,,,False,False
259223745,species,species,1,0,2,1,True,species,improving,True,1976574,species,supporting,False,False,,,,14.9,0.0,False,False
259295568,species,species,1,0,3,2,True,species,improving,True,1976574,species,supporting,False,False,species,supporting,False,11.13,3.92,False,False
259314650,species,species,1,0,2,1,True,species,improving,True,5521474,species,supporting,False,False,,,,0.35,0.0,False,False
259331458,species,species,1,0,2,1,True,species,improving,True,4989360,species,supporting,False,False,,,,734.49,0.0,False,False
259350955,genus,genus,1,0,3,2,True,genus,improving,True,4861227,genus,supporting,False,False,genus,supporting,False,3.72,4.97,False,False
259356543,species,species,1,1,3,2,True,species,improving,True,5555239,species,supporting,False,False,species,supporting,False,0.52,239.48,False,False
259364296,other,subtribe,1,1,2,1,True,genus,leading,False,5934861,genus,leading,False,True,,,,17.23,0.0,True,False
259416984,species,species,3,0,2,1,True,species,improving,False,9944161,species,supporting,False,False,,,,9168.96,0.0,False,False
